Timestamp,High,Low,Weighted Price
2013-02-25,30.4,29.55,30.07
2013-02-26,31.699,30.1171,31.01
2013-02-27,31.65,30.7901,31.22
2013-02-28,34.51541,30.902,32.69
2013-03-01,34.9,32.92,34.24
2013-03-02,34.808,33.15,33.87
2013-03-03,34.5,33.8,34.13
2013-03-04,36.7,34.19,35.47
2013-03-05,40.64625,36.15,39.35
2013-03-06,49.099,40.1446,45.18
2013-03-07,45.5,33.3,40.93
2013-03-08,44.5,41.02,43.16
2013-03-09,46.99,43.411,45.44
2013-03-10,47.95,45.471,46.84
2013-03-11,48.469,45.54,47.62
2013-03-12,48.39999,36.65,43.7
2013-03-13,47.295,43.7508,46.41
2013-03-14,47.99,46.05,47.31
2013-03-15,47.44999,46.4,47.03
2013-03-16,47.3599,46.2707,46.86
2013-03-17,47.74,46.8,47.4
2013-03-18,52.875,47.12009,48.98
2013-03-19,62,50,55.39
2013-03-20,66,57.702,62.02
2013-03-21,74.9,63.101,69.07
2013-03-22,73.74999,65,70.65
2013-03-23,70.5025,52.3456,62.67
2013-03-24,72.49999,62.7,68.92
2013-03-25,78,69.51777,74.25
2013-03-26,79.72001,73.11,77.25
2013-03-27,89.49999,78.4,84.87
2013-03-28,95.7,75.00111,87.41
2013-03-29,93.06,83.01,88.78
2013-03-30,94.98,87,91.72
2013-03-31,93.8,91,92.7
2013-04-01,106,92.2361,100.04
2013-04-02,118.36,99,107.61
2013-04-03,147,110,127.89
2013-04-04,142.12,116.39063,131.61
2013-04-05,144.94,130.24303,139.22
2013-04-06,143.9,139.54,142.16
2013-04-07,164.9,142.63113,154.26
2013-04-08,194.9,162.59806,181.49
2013-04-09,240.111,186.5,214.67
2013-04-10,266,105,184.65
2013-04-11,188.7,110.20003,158.93
2013-04-12,140,54.25,85.57
2013-04-13,130,85.5,110.21
2013-04-14,109.998,84.43689,97.41
2013-04-15,102,71.51,87.07
2013-04-16,84.5,50.01,65.33
2013-04-17,98.77799,63.3,85.27
2013-04-18,112.99999,86,97.38
2013-04-19,136.4321,105.54,119.43
2013-04-20,132,115,124.02
2013-04-21,130.49979,110,121.5
2013-04-22,127.39999,118.5,123.23
2013-04-23,144.019,124.97,134.63
2013-04-24,166.43438,140.96635,152.07
