Timestamp,Timestamp,Url,Sentiment Score,Sentiment Text,Title,Article ,High,Low,Weighted Price
2013-04-04,4,4,4,4,4,4,4,4,4
2013-10-03,4,4,4,4,4,4,4,4,4
2013-11-18,4,4,4,4,4,4,4,4,4
2013-11-25,4,4,4,4,4,4,4,4,4
2013-11-28,4,4,4,4,4,4,4,4,4
2013-12-04,4,4,4,4,4,4,4,4,4
2014-02-18,4,4,4,4,4,4,4,4,4
2014-02-25,4,4,4,4,4,4,4,4,4
2013-04-12,3,3,3,3,3,3,3,3,3
2013-04-18,3,3,3,3,3,3,3,3,3
2013-04-26,3,3,3,3,3,3,3,3,3
2013-07-31,3,3,3,3,3,3,3,3,3
2013-11-21,3,3,3,3,3,3,3,3,3
2013-11-27,3,3,3,3,3,3,3,3,3
2013-12-02,3,3,3,3,3,3,3,3,3
2013-12-03,3,3,3,3,3,3,3,3,3
2013-12-09,3,3,3,3,3,3,3,3,3
2013-12-20,3,3,2,2,3,3,3,3,3
2014-01-07,3,3,3,3,3,3,3,3,3
2014-01-08,3,3,3,3,3,3,3,3,3
2013-03-22,2,2,2,2,2,2,2,2,2
2013-04-03,2,2,2,2,2,2,2,2,2
2013-04-10,2,2,2,2,2,2,2,2,2
2013-04-11,2,2,2,2,2,2,2,2,2
2013-04-14,2,2,2,2,2,2,2,2,2
2013-04-16,2,2,2,2,2,2,2,2,2
2013-05-02,2,2,2,2,2,2,2,2,2
2013-05-06,2,2,2,2,2,2,2,2,2
2013-05-10,2,2,2,2,2,2,2,2,2
2013-05-16,2,2,2,2,2,2,2,2,2
2013-07-01,2,2,2,2,2,2,2,2,2
2013-07-03,2,2,2,2,2,2,2,2,2
2013-08-13,2,2,2,2,2,2,2,2,2
2013-08-15,2,2,2,2,2,2,2,2,2
2013-08-19,2,2,2,2,2,2,2,2,2
2013-08-28,2,2,2,2,2,2,2,2,2
2013-10-02,2,2,2,2,2,2,2,2,2
2013-10-04,2,2,2,2,2,2,2,2,2
2013-10-07,2,2,2,2,2,2,2,2,2
2013-10-08,2,2,2,2,2,2,2,2,2
2013-10-09,2,2,2,2,2,2,2,2,2
2013-11-08,2,2,2,2,2,2,2,2,2
2013-11-15,2,2,2,2,2,2,2,2,2
2013-11-19,2,2,2,2,2,2,2,2,2
2013-11-22,2,2,2,2,2,2,2,2,2
2013-11-29,2,2,2,2,2,2,2,2,2
2013-12-05,2,2,2,2,2,2,2,2,2
2013-12-08,2,2,2,2,2,2,2,2,2
2013-12-11,2,2,1,1,2,2,2,2,2
2013-12-12,2,2,2,2,2,2,2,2,2
2013-12-16,2,2,2,2,2,2,2,2,2
2013-12-17,2,2,2,2,2,2,2,2,2
2013-12-18,2,2,2,2,2,2,2,2,2
2013-12-23,2,2,2,2,2,2,2,2,2
2013-12-29,2,2,2,2,2,2,2,2,2
2014-01-01,2,2,2,2,2,2,2,2,2
2014-01-06,2,2,2,2,2,2,2,2,2
2014-01-10,2,2,2,2,2,2,2,2,2
2014-01-15,2,2,2,2,2,2,2,2,2
2014-01-28,2,2,2,2,2,2,2,2,2
2014-02-05,2,2,2,2,2,2,2,2,2
2014-02-10,2,2,2,2,2,2,2,2,2
