Timestamp,Number_Published,Url,Sentiment Score,Sentiment Text,Datum Title,Datum Article,High,Low,Weighted Price
2014-02-25,4,http://www.theguardian.com/business/blog/2014/feb/25/stock-markets-highs-ftse-100-china-live,0.00902745,positive,negative,neutral,173.84343,101.62872,122.73
2014-02-25,4,http://www.theguardian.com/technology/economics-blog/2014/feb/25/bitcoin-will-survive-despite-mtgox-offline,-0.0451389,negative,positive,neutral,173.84343,101.62872,122.73
2014-02-25,4,http://www.theguardian.com/technology/2014/feb/25/bitcoin-exchange-mtgox-offline-amid-rumours-of-theft,-0.0495447,negative,neutral,negative,173.84343,101.62872,122.73
2014-02-25,4,http://www.theguardian.com/media/2014/feb/25/media-briefing-tuesday-25-february,0.0139793,positive,neutral,neutral,173.84343,101.62872,122.73
2014-02-24,1,http://www.theguardian.com/technology/2014/feb/24/dogecoin-burger-stand-aims-to-take-digital-currency-to-the-moon,0.0224145,positive,negative,neutral,316.78999,131.72093,185.96
2014-02-21,1,http://www.theguardian.com/media/2014/feb/21/media-briefing-friday-21-february,-0.06345049999999999,negative,neutral,neutral,160.0,91.5,119.34
2014-02-20,1,http://www.theguardian.com/technology/2014/feb/20/winklevoss-twins-facebook-launch-winkdex-bitcoin-price-tracker,0.0192457,positive,positive,negative,271.43,109.0,160.23
2014-02-18,4,http://www.theguardian.com/commentisfree/2014/feb/18/house-of-cards-season-two-hacker-gregg-housh,-0.026296100000000003,negative,negative,negative,370.0,248.14826000000002,285.42
2014-02-18,4,http://www.theguardian.com/advertising/digital-media-trends-power-people,0.0396256,positive,neutral,positive,370.0,248.14826000000002,285.42
2014-02-18,4,http://www.theguardian.com/technology/2014/feb/18/doge-such-questions-very-answered,-0.042945300000000006,negative,negative,neutral,370.0,248.14826000000002,285.42
2014-02-18,4,http://www.theguardian.com/media/2014/feb/18/media-briefing-tuesday-18-february,0.0772115,positive,neutral,positive,370.0,248.14826000000002,285.42
2014-02-17,1,http://www.theguardian.com/politics/2014/feb/17/scottish-independence-oops-scenario,-0.022525999999999997,negative,neutral,positive,411.0,263.101,319.37
2014-02-14,1,http://www.theguardian.com/guardian-observer-style-guide-b,-0.028194999999999998,negative,negative,negative,499.89,302.0,379.15
2014-02-13,2,http://www.theguardian.com/sustainable-business/sustainable-finance-where-next-open-thread,0.0469696,positive,neutral,neutral,549.0,451.1,494.68
2014-02-13,2,http://www.theguardian.com/media/2014/feb/13/media-briefing-thursday-13-february,0.0772115,positive,neutral,neutral,549.0,451.1,494.68
2014-02-12,2,http://www.theguardian.com/technology/2014/feb/12/bitcoin-exchanges-suspend-conversions-hacker-attack,-0.096807,negative,neutral,positive,585.0,511.77,542.38
2014-02-12,2,http://www.theguardian.com/sustainable-business/sustainable-finance-top-ten-tweeters-twitter,0.0464585,positive,neutral,neutral,585.0,511.77,542.38
2014-02-11,2,http://www.theguardian.com/media/2014/feb/11/media-briefing-tuesday-11-february,0.0772115,positive,neutral,negative,609.4949,550.0,570.85
2014-02-11,2,http://www.theguardian.com/technology/blog/2014/feb/11/app-purchase-stats-secret,-0.00320692,negative,negative,neutral,609.4949,550.0,570.85
2014-02-10,2,http://www.theguardian.com/technology/2014/feb/10/how-ransomware-turns-your-computer-bitcoin-miner-linkup,-0.124766,negative,negative,neutral,700.0,500.0,604.78
2014-02-10,2,http://www.theguardian.com/technology/2014/feb/10/cody-wilson-3d-gun-anarchist,-0.021778,negative,neutral,negative,700.0,500.0,604.78
2014-02-07,1,http://www.theguardian.com/media/2014/feb/07/media-briefing-friday-7-february,-0.028804000000000003,negative,neutral,neutral,833.14499,651.70976,729.09
