Timestamp,Number_Published
2/25/14,4
2/24/14,1
2/21/14,1
2/20/14,1
2/18/14,4
2/17/14,1
2/14/14,1
2/13/14,2
2/12/14,2
2/11/14,2
2/10/14,2
2/7/14,1
2/6/14,1
2/5/14,2
1/28/14,2
1/27/14,1
1/23/14,1
1/22/14,1
1/21/14,1
1/20/14,1
1/19/14,1
1/17/14,1
1/16/14,1
1/15/14,2
1/10/14,2
1/8/14,3
1/7/14,3
1/6/14,2
1/5/14,1
1/3/14,1
1/2/14,1
1/1/14,2
12/31/13,1
12/30/13,1
12/29/13,2
12/25/13,1
12/24/13,1
12/23/13,2
12/22/13,1
12/21/13,1
12/20/13,3
12/19/13,1
12/18/13,2
12/17/13,2
12/16/13,2
12/15/13,1
12/13/13,1
12/12/13,2
12/11/13,2
12/10/13,1
12/9/13,3
12/8/13,2
12/6/13,1
12/5/13,2
12/4/13,4
12/3/13,3
12/2/13,3
11/29/13,2
11/28/13,4
11/27/13,3
11/26/13,1
11/25/13,4
11/22/13,2
11/21/13,3
11/19/13,2
11/18/13,4
11/15/13,2
11/10/13,1
11/8/13,2
11/7/13,1
11/6/13,1
11/5/13,1
11/4/13,1
11/1/13,1
10/30/13,1
10/29/13,1
10/24/13,1
10/21/13,1
10/18/13,1
10/15/13,1
10/9/13,2
10/8/13,2
10/7/13,2
10/5/13,1
10/4/13,2
10/3/13,4
10/2/13,2
9/27/13,1
9/19/13,1
9/9/13,1
9/5/13,1
9/3/13,1
8/28/13,2
8/26/13,1
8/21/13,1
8/20/13,1
8/19/13,2
8/16/13,1
8/15/13,2
8/13/13,2
8/12/13,1
8/9/13,1
8/2/13,1
7/31/13,3
7/30/13,1
7/24/13,1
7/22/13,1
7/10/13,1
7/8/13,1
7/6/13,1
7/5/13,1
7/3/13,2
7/2/13,1
7/1/13,2
6/25/13,1
6/23/13,1
6/21/13,1
6/6/13,1
6/5/13,1
6/3/13,1
6/2/13,1
5/31/13,1
5/30/13,1
5/29/13,1
5/28/13,1
5/24/13,1
5/20/13,1
5/16/13,2
5/12/13,1
5/10/13,2
5/9/13,1
5/6/13,2
5/3/13,1
5/2/13,2
4/27/13,1
4/26/13,3
4/19/13,1
4/18/13,3
4/16/13,2
4/14/13,2
4/13/13,1
4/12/13,3
4/11/13,2
4/10/13,2
4/9/13,1
4/8/13,1
4/6/13,1
4/4/13,4
4/3/13,2
4/1/13,1
3/28/13,1
3/22/13,2
3/4/13,1
